DATE,CIG,VIS,TMP,DEW,SLP,WD,WS,CLDCR,CLDHT
2018-01-09 06:00:00,1250.0,10000,12.2,6.0,1024.4,360,1.0,0.2,450.0
2018-01-09 09:00:00,,10000,13.4,6.7,1022.5,270,2.0,0.2,450.0
2018-01-09 12:00:00,1250.0,10000,13.0,7.4,1024.0,270,1.0,0.2,450.0
2018-01-09 15:00:00,1250.0,10000,13.0,5.6,1025.7,360,2.0,0.3,450.0
2018-01-09 18:00:00,1250.0,10000,12.2,5.4,1026.3,320,1.0,0.3,450.0
2018-01-09 21:00:00,1250.0,10000,12.2,5.6,1026.1,320,1.0,0.5,450.0
2018-01-10 00:00:00,1250.0,10000,12.2,6.1,1028.2,360,0.0,0.2,450.0
2018-01-10 03:00:00,1250.0,10000,14.5,4.1,1029.5,340,2.0,0.6,450.0
2018-01-10 06:00:00,1250.0,10000,15.5,2.5,1026.0,340,2.0,0.2,450.0
2018-01-10 09:00:00,1250.0,10000,15.7,4.2,1024.5,20,2.0,0.2,450.0
2018-01-10 12:00:00,1250.0,10000,14.7,3.4,1025.3,340,2.0,0.2,450.0
2018-01-10 15:00:00,1250.0,10000,13.7,5.2,1027.0,340,1.0,0.5,450.0
2018-01-10 18:00:00,1250.0,10000,13.5,4.6,1027.0,20,1.0,0.6,450.0
2018-01-10 21:00:00,1250.0,10000,13.0,7.3,1026.2,360,0.0,0.6,450.0
2018-01-11 00:00:00,,10000,12.5,8.0,1027.8,250,1.0,0.3,450.0
2018-01-11 03:00:00,1250.0,10000,15.2,7.6,1029.0,360,3.0,0.7,1250.0
2018-01-11 06:00:00,1250.0,10000,16.5,0.8,1025.7,360,2.0,0.7,1250.0
2018-01-11 09:00:00,1250.0,10000,17.2,0.8,1024.4,360,1.0,0.6,1250.0
2018-01-11 12:00:00,1250.0,10000,15.2,7.5,1025.6,360,0.0,0.8,1250.0
2018-01-11 15:00:00,1250.0,10000,14.5,8.4,1027.8,360,0.0,0.8,1250.0
2018-01-11 18:00:00,1250.0,10000,14.5,6.0,1027.5,360,0.0,0.2,450.0
2018-01-11 21:00:00,1250.0,10000,14.0,6.2,1027.0,360,0.0,0.2,450.0
2018-01-12 00:00:00,1250.0,10000,13.7,6.5,1027.7,360,0.0,0.8,1250.0
2018-01-12 03:00:00,1250.0,10000,16.6,3.6,1028.8,50,2.0,0.2,450.0
2018-01-12 06:00:00,1250.0,10000,18.2,2.1,1025.4,50,3.0,0.2,450.0
2018-01-12 09:00:00,,10000,18.2,1.8,1023.1,999,999.9,0.1,450.0
2018-01-12 12:00:00,22000.0,10000,14.2,5.0,1023.9,999,999.9,0.2,1250.0
2018-01-12 15:00:00,,10000,13.8,7.2,1025.7,320,1.0,0.6,1250.0
2018-01-12 18:00:00,22000.0,10000,13.3,9.1,1025.5,999,999.9,0.2,1250.0
2018-01-12 21:00:00,1250.0,10000,13.6,9.9,1024.1,360,0.0,0.3,450.0
2018-01-13 00:00:00,1250.0,4000,13.2,9.8,1024.6,360,0.0,0.1,450.0
2018-01-13 03:00:00,1250.0,10000,16.2,7.9,1025.7,50,1.0,0.3,450.0
2018-01-13 06:00:00,1250.0,10000,17.7,6.5,1022.6,140,1.0,0.7,1250.0
2018-01-13 09:00:00,1250.0,10000,17.2,6.9,1020.7,160,1.0,0.3,450.0
2018-01-13 12:00:00,1250.0,10000,15.7,9.8,1021.6,360,0.0,0.3,450.0
2018-01-13 15:00:00,1250.0,10000,15.6,10.7,1023.0,140,1.0,0.3,450.0
2018-01-13 18:00:00,1250.0,10000,15.1,11.3,1022.6,360,0.0,0.3,450.0
2018-01-13 21:00:00,1250.0,10000,15.2,11.2,1021.7,360,0.0,0.2,450.0
2018-01-14 00:00:00,1250.0,4000,14.6,12.4,1022.6,360,0.0,0.3,450.0
2018-01-14 03:00:00,1250.0,10000,15.7,11.0,1023.7,270,2.0,0.2,450.0
2018-01-14 06:00:00,1250.0,10000,17.7,10.8,1020.3,360,1.0,0.2,450.0
2018-01-14 09:00:00,1250.0,10000,17.5,11.0,1018.4,140,2.0,0.1,450.0
2018-01-14 12:00:00,1250.0,10000,16.5,12.5,1018.8,140,1.0,0.2,450.0
2018-01-14 15:00:00,1250.0,10000,16.0,13.2,1019.9,140,1.0,0.2,450.0
2018-01-14 18:00:00,1250.0,10000,15.7,13.3,1019.3,90,1.0,0.1,450.0
2018-01-14 21:00:00,1250.0,10000,15.7,13.3,1018.1,360,0.0,0.2,450.0
2018-01-15 00:00:00,1250.0,4000,16.0,13.9,1018.6,360,0.0,0.3,450.0
2018-01-15 03:00:00,,4000,16.7,14.4,1019.6,230,1.0,0.6,450.0
2018-01-15 06:00:00,1250.0,10000,18.0,13.4,1016.4,160,1.0,0.6,450.0
2018-01-15 09:00:00,1250.0,10000,19.2,15.1,1013.7,110,1.0,0.2,450.0
2018-01-15 12:00:00,1250.0,10000,18.5,16.6,1013.8,90,2.0,0.8,1250.0
2018-01-15 15:00:00,1250.0,10000,18.0,16.3,1014.8,90,2.0,0.2,450.0
2018-01-15 18:00:00,,4000,17.6,16.2,1014.2,90,1.0,0.6,450.0
2018-01-15 21:00:00,1250.0,4000,17.5,16.1,1013.5,270,2.0,0.8,1250.0
2018-01-16 00:00:00,2750.0,500,16.0,15.3,1015.1,290,1.0,0.6,450.0
2018-01-16 03:00:00,2750.0,4000,16.5,15.4,1017.2,340,1.0,0.6,450.0
2018-01-16 06:00:00,2750.0,4000,17.7,15.9,1014.8,360,1.0,0.6,450.0
2018-01-16 09:00:00,1250.0,4000,19.0,16.5,1013.1,360,2.0,0.4,450.0
2018-01-16 12:00:00,1250.0,4000,18.6,16.7,1014.4,110,2.0,0.4,450.0
2018-01-16 15:00:00,2750.0,4000,18.0,17.1,1015.8,360,0.0,0.6,450.0
2018-01-16 18:00:00,1250.0,4000,17.7,16.8,1015.1,360,0.0,0.4,450.0
2018-01-16 21:00:00,1250.0,4000,17.5,16.6,1013.9,320,2.0,0.2,450.0
2018-01-17 00:00:00,1250.0,1000,18.0,17.0,1015.1,360,0.0,0.2,450.0
2018-01-17 03:00:00,1250.0,4000,19.2,17.7,1017.1,360,0.0,0.2,450.0
2018-01-17 06:00:00,1250.0,4000,22.0,15.3,1014.2,110,2.0,0.3,450.0
2018-01-17 09:00:00,1250.0,4000,22.1,14.6,1011.8,90,2.0,0.2,450.0
2018-01-17 12:00:00,1250.0,10000,20.2,17.2,1012.6,140,2.0,0.5,450.0
2018-01-17 15:00:00,1250.0,10000,19.2,16.0,1014.4,140,2.0,0.3,450.0
2018-01-17 18:00:00,,10000,18.6,16.6,1014.1,90,2.0,0.5,450.0
2018-01-17 21:00:00,1250.0,10000,18.6,16.9,1013.0,90,1.0,0.8,1250.0
2018-01-18 00:00:00,1250.0,4000,18.5,17.0,1015.0,140,2.0,0.5,450.0
2018-01-18 03:00:00,1250.0,4000,19.2,16.3,1016.9,90,2.0,0.5,450.0
2018-01-18 06:00:00,1250.0,10000,21.0,16.9,1014.6,90,2.0,0.2,450.0
