,v_2m,d_2m,v_10m,d_10m,v_50m,d_50m,v_850,d_850,v_500,d_500,v_250,d_250
2018-01-01 00:00:00,0.5075817035803735,182.61781457099937,0.820326023732435,182.21283505249028,1.1675226564976844,181.50948546602217,6.347018751178165,173.86006949953793,11.25753352894826,276.65464865711283,23.196986134704073,242.23226638235926
2018-01-01 01:00:00,0.42905978562487956,206.2277291538714,0.6913239541532723,206.10933760510554,0.9794523702152063,205.6921567567336,6.1757765623278145,176.29738633464552,11.215820536165378,280.4713848975256,23.47556272775605,241.0817266088543
2018-01-01 02:00:00,0.38339970823273517,219.36791889533893,0.6171084544727936,218.82438973724692,0.8722964447384617,218.6485653848775,5.997708297722837,177.91817115641783,10.827757616329986,282.43751620866806,23.84292864188479,240.02272671309737
2018-01-01 03:00:00,0.3391889994914648,215.10972385006966,0.5253368469997657,212.6377840227508,0.7296866135286091,211.70957374080805,5.915825028235656,177.8969565098489,10.295539518021544,282.6331495046833,24.13783101957906,239.37586046380912
2018-01-01 04:00:00,0.3058529194127118,205.66650896772444,0.4775879140116514,200.74869429062858,0.6663408083006435,198.64471721115294,5.885086539396177,178.94135373875002,9.500885820278972,280.8605307179284,24.453375928203716,238.7871306483771
2018-01-01 05:00:00,0.25849234025092577,199.74790794559618,0.38745466875042156,188.1195168112735,0.5411085092702135,182.26273245013647,5.796021712311597,180.83880609152203,8.601368209829397,276.8731360061846,24.686096324959035,238.3564890912551
2018-01-01 06:00:00,0.20359595170282577,190.76779437498453,0.3134271113063961,167.22639330139663,0.47040632447270625,156.54485428284687,5.611973664225671,182.30079634634285,7.8337310859095135,270.8942345585207,24.657555027607,237.61072473119563
2018-01-01 07:00:00,0.20153128884681332,134.94487099134847,0.3046834477590642,131.75954823755563,0.5049194813518374,128.38278661031077,5.4995857662288445,182.24143493438476,7.19795719599878,262.7595011302912,24.331390978971605,236.04971304277902
2018-01-01 08:00:00,1.2760688320694382,124.62254193663493,1.6195187525027948,124.60021087637574,2.008762809220444,126.59829625690037,5.493582322675052,181.24999944921763,6.75054724703059,252.46401059876396,24.06441142378296,233.70225320201814
2018-01-01 09:00:00,1.8713107149747874,129.5683152069348,2.3736321427555915,129.6219776867743,2.7165851364939475,131.35145436313002,5.58921385520494,180.5694584272179,6.575478482016734,241.60041655719206,24.251709884998707,232.96207595371672
2018-01-01 10:00:00,2.0703492807921324,132.60198597487403,2.6229660575852844,132.60862145383538,2.9700800056161536,134.38862051839044,5.768162592782159,178.79373681772344,6.785112001400539,234.66043280996172,24.840516338516476,235.9212007089426
2018-01-01 11:00:00,2.247042861507261,135.3837863311533,2.857026987897876,135.3811776036603,3.241804222336944,137.1419566973774,5.963296077857854,176.66400322084658,7.21059342643335,231.63392707631053,25.284673716389637,240.4187753337011
2018-01-01 12:00:00,2.318346964273937,137.8664234123394,2.981101542171586,137.85125257336986,3.398357428120834,139.5266279011797,5.986892522021205,175.80750914635112,7.613708508336387,229.4649219602925,25.104435448364995,243.7178349521633
2018-01-01 13:00:00,2.28508134536388,138.91393724510868,2.9669328475612065,138.89387002709353,3.393289937065105,140.46011272034315,5.7337927590632285,176.5205074084592,7.928854642669629,226.72113005552765,24.73099766959291,245.85115645345962
2018-01-01 14:00:00,2.1500526451683926,137.14734270788173,2.8433781144968124,137.1216508685862,3.2834700694491565,138.45563544718698,5.370564642568223,178.62113025936745,8.207985059153911,223.57639407607073,24.53016811687437,247.13395691843576
2018-01-01 15:00:00,1.89048738816588,132.72061060648588,2.6111504172436866,132.70137032841143,3.2240741260739587,133.567014221106,5.081678066974598,182.54535001336825,8.486326935554661,220.84663110901502,24.356776771470646,247.1499170731019
2018-01-01 16:00:00,1.2639225462099177,127.47067866157354,1.9825312339371832,127.49702217451832,3.2987191597771774,127.5439617235658,4.9880547221142395,188.70566321232798,8.861878042019951,219.29236356622877,23.893660513188117,246.12394316303204
2018-01-01 17:00:00,0.8677680872893403,124.57779342754984,1.9177066455925786,124.66284548389962,3.6567065207823846,124.64539599677185,5.038681202965667,195.73523925357478,9.306142957748392,219.6708176968633,23.070436596952238,244.6281734578101
2018-01-01 18:00:00,0.9772006419141158,125.98772636246977,2.1345582345534684,126.06930886356795,4.132148618697935,126.12318072645581,5.005815235757325,201.88119831133295,9.65089559944829,222.29113985143587,22.155649837490618,242.61071371369104
2018-01-01 19:00:00,1.042722347834696,129.0322888397759,2.199759149641362,129.16055413892968,4.406558102473439,129.22803832646517,4.861481119699738,206.3925722401595,9.943737554324555,226.4141019841949,21.443780789343702,239.4314326840044
2018-01-01 20:00:00,1.0441299572404057,132.46565975328656,2.1783867922715743,132.61441321145566,4.41310486548267,132.68113298561713,4.688739058590883,209.19637382781224,10.296673737699447,231.29672252840507,21.25021455680258,236.17830095147121
2018-01-01 21:00:00,0.9899249780295538,135.85584529185422,2.1296511728675216,135.96783089123403,4.214049174024378,135.99979269643296,4.538663108898694,209.48840232541056,10.711561347902368,236.32683291977375,21.472442833084546,234.2568698330481
2018-01-01 22:00:00,0.9330434970100471,139.6184066002503,2.0951548600280456,139.72030082741588,3.9694739539654686,139.73076033885513,4.346585085019365,206.15268701637655,10.940055692636761,241.4465805274511,21.92931671491068,232.3697588584797
2018-01-01 23:00:00,0.8873955978144739,143.10008112653975,2.051405881186095,143.1567090378659,3.7145245673113068,143.1555825736517,4.279673486264058,199.3005633849395,10.871386303814246,246.1964217739323,22.359129397659917,230.78914307841433
